Name,Address,Latitude,Longitude,Type
Rahat market (9-cu MKR),"Bakı, Binəqədi rayonu, 9-cu mikrorayon, M.Cəlal küçəsi (""Sarı"" market)",40.42578125,49.818824768066406,atm
Bolmart supermarket (9-cu MKR),"Bakı, 9-cu mkr. Mir Cəlal küç. 72 (""Bolmart"" supermarketi)",40.421162,49.814681,atm
Grand supermarket (8-ci MKR),"Bakı, Binəqədi rayonu, C.Xəndan küçəsi 26 (""Grand"" supermarketi)",40.416279,49.833863,atm
Favorit supermarket (9-cu MKR),"Bakı, Binəqədi rayonu, Mir Cəlal küçəsi 59K 9-cu mikrorayon (Favorit - Supermarket)",40.418736,49.810984,atm
Rahat market (Xocahəsən),"Bakı, Binəqədi rayonu, Xocəhəsən qəsəbəsi (Rahat market)",40.41465012957297,49.76827137827392,atm
Rahat Market (Binəqədi şössesi),"Bakı ş. Mehdiabad qəs. Binəqədi şossesi, 3-cü mədən, korpus 119/55 (""Rahat"" market)",40.46753257446363,49.84231164928107,atm
Araz market (7-ci MKR),"Bakı, Binəqədi rayonu, 7-ci mkr. S.S.Axundov 3C (Cross market, keçmiş ""Bona"" market)",40.426657,49.849794,atm
Oba market (Binəqədi),"Bakı, Binəqədi r-nu Eldar Babayev küçəsi 18/1 (Oba)",40.41344323232291,49.82794167409921,atm
Bizim Market (Binəqədi),"Bakı şəhəri, Binəqədi r-nu, İ,Dadaşov küç., 60 (Bizim market)",40.413922,49.843966,atm
Rahat market (Müşviqabad),"Bakı, Binəqədi rayonu, Müşviqabad qəsəbəsi (Rahat market)",40.463923,49.629655,atm
Safa store (9 mkr),"Bakı, Binəqədi rayonu, Mir Cəlal küçəsi,  9-cu mikrorayon (""Safa store"")",40.413839,49.803859,atm
Oba market (Cəlilabad),"Cəlilabad, H.Əliyev k., (Oba market)",39.215229,48.525204,atm
ABB-nin Cəlilabad filialı,"Cəlilabad, Cəlilabad, Azərbaycan küçəsi 103a (ABB-nin Cəlilabad filialı)",39.212246,48.504805,atm
ABB-nin Cəlilabad filialı,"Cəlilabad, Azərbaycan küçəsi 44a (ABB-nin Cəlilabad filialı)",39.212265,48.505136 ,atm
Asiman Market (Göytəpə),"Cəlilabad rayonu, Göytəpə qəsəbəsi, Qurtuluş pr. 94 (""Asiman"" market)",39.11820132392511,48.59439570246162,atm
"Market, Mirzəli Hüseynzadə küç","Cəlilabad şəhəri, Mirzəli Hüseynzadə küç. 1 (Market)",39.21109254745534,48.50612612544456,atm
Oba market (Alar kəndi),"Cəlilabad, Alar kəndi (Oba market)",39.26638016949251,48.5023440349456,atm
Avtovağzal,"Culfa, H.Əliyev prospekti (Avtovağzal)",38.956311,45.631555,atm
Rabitə idarəsi,"Culfa, Təbriz küçəsi (Rabitə idarəsi)",38.956336,45.629442,atm
ABB-nin Daşkəsən filialı - 1,"Daşkəsən, Daşkəsən, H.Əliyev küçəsi 38 (ABB Gəncə filialının Daşkəsən şöbəsi)",40.523939760706085,46.08170728310632,atm
ABB-nin Daşkəsən filialı - 2,"Daşkəsən, Daşkəsən, H.Əliyev küçəsi 38 (ABB Gəncə filialının Daşkəsən şöbəsi)",40.523939760706085,46.08170728310632,atm
Daşkəsən Market,"Daşkəsən, Nizami küçəsi, market",40.523353001815735,46.08261776290432,atm
Bazarstore (Füzuli),"Füzuli ş., Yeni yaşayış kompleksi (Bazarstore)",39.59665280084392,47.153582134639294,atm
Horadiz market,"Füzuli rayonu, Horadiz şəhəri, Q.Namazaliyev 417 (Market)",39.4478445,47.3404235,atm
"Füzuli, Əhmədbəyli kəndi","Füzuli rayonu, Əhmədbəyli kəndi",39.5594237,47.566481,atm
ABB-nin Gədəbəy filialı,"Gədəbəy şəhəri, H.Əliyev pr 2A (ABB Gədəbəy filialı)",40.576428,45.808638,atm
Dadaş market (Gədəbəy),"Gədəbəy, Səməd Vurğun 46B, (Market)",40.57215910675314,45.80605010948782,atm
Şınıx kəndi,"Gədəbəy rayonu Şınıx kəndi,",40.66194607921284,45.47864818127052,atm
Market (Gədəbəy),"Gədəbəy, Gədəbəy, R.Əliyev kəndi (Market)",40.502506644668244,45.75588957205038,atm
Slavyanka,"Gədəbəy, Gədəbəy, Slavyanka (ELOİL  YDM)",40.659640423995974,45.80808174961761,atm
Novo-Saratovka kəndi,"Gədəbəy, Novo-Saratovka kəndi",40.59737322448654,45.602710735222225,atm
ABB-nin Gədəbəy filialı,"Gədəbəy şəhəri, H.Əliyev pr. 2A (ABB Gədəbəy filialı)",40.576428,45.808638,atm
Gədəbəy Qızıl mədəni,Gədəbəy Qızıl mədəni,40.58222707606838,45.80520595114627,atm
FHN Mülki Müdafiə Briqadası,"Gəncə ş., 9911 saylı FHN Mülki Müdafiə Briqadası",40.6788172747948,46.41097516187645,atm
