Name,lat,lon,Category,Address,Working Hours,Phone
Araz Supermarket Şıxov,40.305634,49.780533,Supermarket,Bakı ş. Səbail r. Səlyan şosesi 12km,08:00 - 23:00,N/A
Araz Xırdalan-2 Minimarket,40.441345,49.771458,Mini,"Abşeron rayonu, Xırdalan şəhəri, H.Əliyev prospekti 7",24\7,055-515-85-70
Araz 6-cı mkr Supermarket,40.426498,49.827896,Supermarket,"Binəqədi rayonu, 6-cı mkr, İ.Haşımov küçəsi 1 A",07:00 - 23:00,055-515-85-74
Araz Ə.Hüseynzadə Supermarket,40.381153,49.834560,Supermarket,"Nəsimi rayonu, Ə.Hüseynzadə küçəsi 84",07:00 - 23:00,055-515-85-78
Araz Xəzər-2 Supermarket,40.363373,49.960487,Supermarket,"Xətai rayonu, Əhmədli qəsəbəsi, Gəncə prospekti 135",24\7,055-515-85-77
Araz Buzovna-2 Supermarket,40.519325,50.095387,Supermarket,"Buzovna qəsəbəsi, Buzovna-Maştağa yolunun sağ tərəfi, Zagulba yolu",07:00 - 00:00,055-515-85-83
Araz Mirəli Qaşqay Minimarket,40.388119,49.845379,Mini,"Nəsimi rayonu, Kavoreçkin küçəsi ilə Mirəli Qaşqay küçəsinin kəsişməsi",07:00 - 02:00,055-515-85-88
Spar Tarqoviy,40.374855,49.841648,Spar,"Nəsimi rayonu, Səməd Vurğun küçəsi 19",24\7,055-515-85-94
Araz Elmlər-3 Minimarket,40.375843,49.811668,Mini,"Yasamal rayonu, Firudin Ağayev 9",08:00 - 23:00,055-515-85-95
Araz Yasamal-1 Minimarket,40.382133,49.807125,Mini,"Yasamal rayonu, M.Seyidov küçəsi 41E, 3148-ci məhəllə",08:00 - 02:00,055-515-85-10
Araz Zaqatala Supermarket,41.629333,46.634918,Supermarket,"Zaqatala rayonu, Faiq Əmirov küçəsi 25 (Zaqatala mall)",07:00 - 23:00,055-498-83-83
Araz İmişli Supermarket,39.867607,48.060246,Supermarket,"İmişli rayonu, İmişli şəhəri, Baki küçəsi",07:00 - 23:00,055-515-85-99
Araz Sumqayıt-3 Superstore,40.570278,49.689060,Superstore,"Sumqayıt şəhəri, 9-cu mikrorayon, Üzeyir Hacıbəyov küçəsi 23",24\7,055-515-85-79
Araz Xətai 2 Ekspress,40.383804,49.861237,Express,"Xətai rayonu, Həsən Salmani küçəsi 17",07:00 - 23:00,055-400-85-18
