name,fullName,address,lat,lon
Grandmart,,"Nizami kuc., 129E",40.37743,49.85432
Oscar Market,,"Nizami kuc., ve Merdanov Qardaslari kuc-nin kesismesi",40.37342,49.84005
Rahat supermarket,,"Nizami r-nu., 8-ci km, Nasimi kuc., 25 A",40.415085,49.968344
Megastore Xalqlar,,"Nizami r-nu, Bahruz Nuriyev kuc., 79",40.403931,49.959347
Spar Market,,"Nizami r-nu, Bakir Cobanzade kuc., ev 63 m. 0",40.399165,49.940066
Yaxin Sirab market,,"Nizami r-nu, Kamal Balakishiyev kuc., ev 8, m. 16,",40.415947,49.932004
Kristal Abşeron Q.Qarayev,,"Nizami r-nu, Ozbekistan kuc., 9",40.415296,49.926467
Rahat supermarket Neftçilər,,"Nizami r-nu., Qara Qarayev kuc., ev 74",40.409339,49.943294
Lacin T/M,,"Nizami r-nu., Qara Qarayev pr.",40.399559,49.952656
Bazarstore X.Dostlugu,,"Nizami r-nu, Q.Qarayev pr., 124",40.397425,49.951995
STEP IT Academy1,,"Nizami r-nu, Q.Qarayev pr., 87",40.406108,49.947439
Lyuksmart market,,"Nizami r-nu, Tofiq Abbasov kuc., 9B",40.420704,49.926048
Neptun Market 8,,"N.Rafiyev kuc., 25, 1171-ci meh.",40.3854,49.87573
Rahat Market,,"Qala STQ, Qala kuc., ev 15",40.47417,50.10945
Elit T/m,,"Qaradag r-nu, Lokbatan qes.",40.324886,49.779452
KingsMart Market,,"Qaradag r-nu, Lokbatan qes.",40.321957,49.734562
KingSmart,,"Qaradag r-nu, Lokbatan qes., Intigam Nabiyev kuc., 41C",40.325486,49.741464
Qaradag market,,"Qaradag r-nu, Sahil qes, Baki - Salyan shosesi 25 -ci km",40.243935,47.801419
Elit Optimal Qaradag,,"Qaradag r-nu, Sederek T.M.",40.329909,49.782996
Rahat market,,"Qara Qarayev pr., 39A",40.413225,49.940171
Lacin T/M 2,,"Qara Qarayev pr, Bahruz Nuriyev kuc., kesishmesi",40.399609,49.95121
Qiz Qalasi market 1,,Qız Qalası market 1,40.467057,49.8274064
Ruslan 93 market 1,,"Q.Qarayev pr., 7A",40.419753,49.92511
Araz supermarket 2,,"Q.Qarayev pr., E.Veliyev kuc.",40.41955,49.92552
Grandmart,,"Resad Qafurov kuc., 20",40.3989766,49.8601298
Expressbank Neftciler filiali,,"R. Rustemov kuc., 34B",40.408946,49.941185
Expressbank Neftciler filiali  24/7,,"R. Rustemov kuc., 34B",40.408946,49.941185
Neptun 4 market H.Aslanov,,"R.Rza kuc., 2942A",40.37089,49.95508
Endi market,,"Sabail r-nu, Badamdar qes., A.Namazov kuc., ev 9",40.34049,49.807031
Express market,,"Sabail r-nu., Badamdar qes., Tofiq Mammedov kuc., 61A",40.336201,49.805553
Real market,,"Sabail r-nu, Bayil qes., Q.Abbasov kuc., 56",40.344903,49.838455
Bazarstore Bayil,,"Sabayil r-nu, Qurban Abbasov kuc., ev 74 m",40.342493,49.839473
Bakcell Sahil,,"Sabayil r-nu, U.Hacibeyli kuc., 48",40.372464,49.845265
Baku Store,,"Sabunchu r-nu, Mashtaga qes., H.Heybetov kuc., 13",40.528401,49.99823
Spar supermarket,,"Sabunçu r-nu, Bakixanov qes., Ahmedbey Agayev kuc., Ev 131.",0.0,0.0
Grandmart,,"Sabuncu r-nu, Bakixanov qes., Besir Bunyadov kuc., 143",40.427357,49.939404
Araz-Fateh market,,"Sabuncu r-nu., Bakixanov qes., M.Fataliyev kuc., 72",40.414743,49.968502
Sabunçu r-n Məhkəməsi,,"Sabuncu r-nu, Bakixanov qes., Oskar Efendiyev kuc.",40.430848,49.954354
Kaspi Liseyi Bakixanov,,"Sabuncu r-nu.,Bakixanov qes., Sakit Qocayev kuc., 176",40.408445,49.969903
Elit Optimal Bakıxanov,,"Sabuncu r-nu, Bakixanov qes., S.Mehmandarov kuc., 1 B",40.429096,49.956768
Rahat market	Bakixanov (Buta),,"Sabuncu r-nu, Bakixanov qes., Y.Aliyev kuc., 14",40.436577,49.958805
SOS MMC,,"Sabuncu r-nu, Balaxani qas., R.Mirisli kuc., 102",40.468591,49.935799
Araz supermarket Savalan,,"Sabuncu r-nu., Mastaga qes., 27 sayli sahe",40.337879,49.778126
Uğur market,,"Sabuncu r-nu, Mastaga qes., Axund Sheyx Huseynov kuc.",40.540459,50.008877
Bereket market,,"Sabuncu r-nu,Mastaga qes., M.Huseynov kuc.",40.523827,50.001509
Elit Optimal Maştağa,,"Sabuncu r-nu, Mastaga qes., Seyid İbad Aga kuc., 93 A",40.533737,50.003853
Bolmart Zabrat,,"Sabuncu r-nu, Sheher pr., 18 D, Zabrat yolu",40.446761,49.935044
Sabuncu rayon DYP sobesi,,"Sabuncu r-nu, Zabrat qes., Babek 53",40.47942,49.950539
Rahat hipermarket,,"Sabuncu r-nu, Zabrat qes., Zabrat yolu",40.465641,49.944649
BolMart,,"Sabunсu r-nu., Zabrat qes.",40.491835,49.953624
VIP Market,,Sadiqcan kuc 15.,40.36127,49.95602
Nariman Market,,Sahil qes.,40.22334,49.57658
Optimal Market,,"Sahil qes., M. Seyidov kuc.",40.227,49.57601
Rahat supermarket Ekologiya 2,,Samaxi shossesi,40.43249,49.78518
Grandmart,,"Samed Vurgun kuc., 34",40.3763,49.84151
Bazarstore Baki K/T,,"Sarayevo kuc., 23-25-ci meh.",40.38614,49.96076
Sevimli Dad Market,,"Sarifzade kuc., 73",40.384371,49.803477
BolMart 4 (Teze Bazar),,"Semed Vurgun kuc., 75B",40.3834437,49.8383331
Araz supermarket 1 (Neftciler),,"Serifli kuc., 25",40.41339,49.94938
Araz supermarket Elmler,,"Shehriyar kuc.,",40.37751,49.81221
VTB Bank  28 May filialı,,Shemsi Bedelbeyli 96.,40.377578,49.843432
Araz supermarket Xatai 2,,S.Orucov kuc.,40.379856,49.866924
Yagmur Market,,"S.Orucov kuc., 23 meh., 1184",40.38064,49.87234
Grandmart,,"Suleyman Rahimov kuc., 179A",40.38022,49.84261
Bizim market Suraxani,,"Suraxani r-nu, Bulbule STQ, S.Behlulzade kuc, ev 85",40.433076,49.983498
Araz supermarket (Hovsan),,"Suraxani r-nu, Elman Qasimov kuc., 227 A",40.393741,49.93752
Araz-Hovsan supermarket,,"Suraxani r-nu., Hovsan qes., Hovsan sovxoz",40.373183,50.112749
Araz supermarket Y.Guneshli,,"Suraxani r-nu, Ilqar Musayev kuc., 56 D",40.355617,49.971902
Bazarstore Qarachuxur,,"Suraxani r-nu, Qaracuxur qes., C.Qurbanov kuc.",40.399743,49.976796
Nərmin store,,"Suraxani r-nu., Ramana qes., Samir Aliyev kuc.",40.444927,50.00153
Araz supermarket Ramana,,"Suraxani r-nu, Samir Aliyev kuc. 189 B",40.39912,49.939778
BolMart Y/Günəşli,,"Suraxani r-nu., Yeni Gunesli qes.",40.384487,49.97905
Polis Akademiyasi,,"Suvalan qes., Almaz Ildirim kuc., 3",40.487292,50.167969
PARK CENTER,,"S.Vurgun kuc., 18 A",40.373623,49.842629
Spar (S.Vurgun),,"S.Vurgun kuc., 19",40.375108,49.841
World Business Center,,"S.Vurgun kuc., 43",40.378489,49.840023
Neptun Market 2,,"Tbilisi pr., 1058",40.39663,49.81514
Chiraq Plaza,,"Tbilisi pr, 49 C",40.394482,49.819632
Araz supermarket (20 Yanvar),,"Tbilisi pr., Alatava 2",40.39778,49.81381
Rahat market Su sonasi,,"Tebriz kuc., ev 60",40.3925,49.85779
