lat,lon,type,company,name
38.75902994400665,48.839270827122306,competitor,abb,Lənkəran Mərkəzi Xəstəxanası
38.782632,48.841864,competitor,abb,Müalicə Diaqnostika Mərkəzi (Lənkəran)
38.75389236817951,48.85536031218073,competitor,abb,ABB-nin Lənkəran filialı - 2
38.75389236817951,48.85536031218073,competitor,abb,ABB-nin Lənkəran filialı - 3
38.877864837646484,48.80789566040039,competitor,abb,Pibon market (Lənkəran)
39.0230945,48.6689756,competitor,abb,Bazarstore (Masallı)
39.026735,48.664782,competitor,abb,Rahat market (Masallı )
40.757251,47.082679,competitor,abb,Market (Yevlax)
40.77265114913743,47.047365815237264,competitor,abb,Bazar store (Mingəçevir)
40.77271892480843,47.02302420763618,competitor,abb,Təbriz küçəsi
40.76156509641441,47.05873221201858,competitor,abb,5+ market (Nizami küçəsi)
40.769875,46.998646,competitor,abb,"Araz market (Mingəçevir, Az.Dres qəsəbəsi)"
40.762267728097456,47.04789145909993,competitor,abb,Qədiroğlu (20 yanvar küç.)
40.75679684607236,47.06375321857951,competitor,abb,5+ market (Ş.İ.Xətai küç.)
40.771339,47.041057,competitor,abb,Araz market (Mingəçevir)
40.767829,47.056671,competitor,abb,Embawood (Mingəçevir)
40.7695367025998,46.98956992471116,competitor,abb,Qədiroğlu market (AZDRES)
40.767231,47.045919,competitor,abb,5+ market (M.Maqomayev küç.)
40.5088266,46.8130938,competitor,abb,Oba market (Naftalan)
39.225676,45.406456,competitor,abb,Hərbi şəhərcik (Təlim-tədris binası)
39.201103,45.412581,competitor,abb,Naxçıvan Tikiş Fabriki
39.208671,45.407789,competitor,abb,Bolmart (Naxçıvan)
39.217378,45.408321,competitor,abb,Naxçıvan şəhər İcra Hakimiyyəti
39.188050,45.378157,competitor,abb,Sənaye Malları Mağazası (Bulqan kəndi)
39.220879,45.407274,competitor,abb,Gənclik Ticarət Mərkəzi
39.200934,45.421690,competitor,abb,Reyhan market
39.202626,45.410540,competitor,abb,Aviakassa (Cəlil Məmmədquluzadə küç)
39.193341,45.409979,competitor,abb,Caman Market (Gömrük İdarəsi)
39.217445,45.402140,competitor,abb,Limon market
39.3762951,49.2478822,competitor,abb,Oba market (Nizami küçəsi)
39.38552138836381,49.24320310011082,competitor,abb,Oba market (Əsədov küçəsi)
40.389364,49.850059,competitor,abb,Azərişıq Baş İdarə
40.3962291,49.8755532,competitor,abb,Oba market (Əlicabbar Orucəliyev küç.)
40.4081377,49.8702131,competitor,abb,Azərbaycan gözdən əlillər cəmiyyətinin inzibati binası
40.39030628769046,49.84648598972087,competitor,abb,Araz market (Dostluq K/T)
40.399363,49.855252,competitor,abb,Azərbaycan Gənclər və İdman Nazirliyi
40.413547393954175,49.85578457315257,competitor,abb,ASAN 7
40.425189,49.906662,competitor,abb,Socar YDM (Ziya Bünyadov prospekti)
40.415868986129276,49.86867514517272,competitor,abb,Keşlə (Neptun Supermarket)
40.39478087355298,49.9500376529113,competitor,abb,Babək pr. (Sizin market)
40.416694,49.908860,competitor,abb,"""Azerfon"" MMC"
40.39602220254467,49.843002459137416,competitor,abb,Mənzil-kommunal təsərrüfatı dep.
40.411293,49.896965,competitor,abb,Keşkə stadionu
40.385283,49.850846,competitor,abb,Bolmart (Nərimanov)
40.372273,49.836737,competitor,abb,ABB Baş İdarə
40.396672,49.815462,competitor,abb,Neptun supermarket (Moskva p.)
40.417322,49.822512,competitor,abb,Alvadı market (4-cü MKR)
40.40681521433774,49.81293513798374,competitor,abb,Spar market (3-cü MKR)
40.398583,49.839810,competitor,abb,Bakı Sağlamlıq Mərkəzi
40.372165,49.836578,competitor,abb,"ABB,Baş İdarə"
40.379028,49.844066,competitor,abb,Fövqəladə Hallar Nazirliyi
40.401234,49.831350,competitor,abb,Olimpik Star idman kompleksi
40.393318,49.843006,competitor,abb,Adore Mart
40.409972,49.819026,competitor,abb,Oba market (3 MKR. ƏCƏMI)
40.419242,49.933865,competitor,abb,ABB-nin Nizami filialı-1
40.4000943,49.9389424,competitor,abb,Market (Çobanzadə küç.)
40.403811,49.959784,competitor,abb,Bizim Market (8-ci km)
40.405737,49.947720,competitor,abb,Oba market (8-ci km bazar)
40.3924261,49.8942294,competitor,abb,Oba market (Keşlə)
40.39774325650495,49.955289899635524,competitor,abb,142 saylı poçt
40.409342,49.956267,competitor,abb,Araz market (Naxçıvanski)
40.412667,49.933928,competitor,abb,Araz market (Planet ş/s)
40.415972,49.939291,competitor,abb,Bakımart market
40.4209338,49.9249186,competitor,abb,Optimal market (Tofiq Abbasov küç.)
40.403280,49.940502,competitor,abb,Oba market (Polis Taboru)
40.3861780131973,49.905875597114246,competitor,abb,Oba market (Mədəniyyət evi)
40.41491831036991,49.927172865974775,competitor,abb,Bravo market (Özbəkistan küçəsi)
40.413225,49.949429,competitor,abb,"Araz market (""Start"" idman kompleksinin yanı)"
40.40292,49.895034,competitor,abb,Veysəloğlu Ulduz fabriki
40.397263,49.953151,competitor,abb,Bestmart
41.03188412206423,47.60547318863613,competitor,abb,Xaçmaz kəndi
40.93882029457601,47.600632655273365,competitor,abb,Luksoil YDM
41.064666,47.463550,competitor,abb,Araz store (Oğuz)
41.06776302854087,47.46166590695176,competitor,abb,Oğuzmart
41.07513162361538,47.46630194724633,competitor,abb,ABB-nin Oğuz filialı
40.97129721343012,47.48912400230216,competitor,abb,Kərimli qəsəbəsi
