"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","city","verified","photos","state","description"
"0x4030880ef56320fd:0xc293e6ef6f34c36f","","Drngl metro stansiyas","Drngl metro stansiyas, Bak, Azerbaijan","40.425565","49.860144","4","4.8","Asia/Baku","","ChIJ_SBj9Q6IMEARb8M0b-_mk8I","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030880ef56320fd:0xc293e6ef6f34c36f","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipOjsQTtWkSpGyeAxMwI2ZKy555be13ZJta5bjkb=w203-h161-k-no","",""
"0x40308776ff7cf23d:0xb1ae9b3a0cea3d84","","20 Yanvar metro stansiyas (Respublika UKX)","20 Yanvar metro stansiyas (Respublika UKX), Bak, Azerbaijan","40.40215","49.80619","","","Asia/Baku","","ChIJPfJ8_3aHMEARhD3qDDqbrrE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40308776ff7cf23d:0xb1ae9b3a0cea3d84","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x4030879833b93bad:0x6cb0d7070169531c","","Memar Ajami","Memar Ajami, Nsimi - Memar cmi, Baku, Azerbaijan","40.41059","49.813623","101","4.3","Asia/Baku","","ChIJrTu5M5iHMEARHFNpAQfXsGw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030879833b93bad:0x6cb0d7070169531c","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipNX8bvcX8x79E-mBOQMBqY4OtqPUsWuC7w6regz=w203-h135-k-no","",""
"0x40307db202e37705:0x806091aae49d1300","","Sahil metro stansiyas","Sahil metro stansiyas, Bak, Azerbaijan","40.370991","49.844457999999996","3","4.7","Asia/Baku","","ChIJBXfjArJ9MEARABOd5KqRYIA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307db202e37705:0x806091aae49d1300","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipNbdvC1eIkrTY8VLeskTsPMaERusjmfpOGYJbgj=w203-h152-k-no","",""
"0x40307dbd53a26039:0xa03a1a9879723644","","Nizami metro stansiyas","Nizami metro stansiyas, Bak 1009, Azerbaijan","40.379619999999996","49.830324","2","5","Asia/Baku","","ChIJOWCiU719MEARRDZyeZgaOqA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307dbd53a26039:0xa03a1a9879723644","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipO98k_NKL06IOSCL-3jG0jg9Dy1LHhnDXO6LpQC=w203-h201-k-no","",""
"0x40308776020cd219:0xcbf6784430f75f7f","+994124900000","20 Yanvar","20 Yanvar, Tbilisi prospekti, Baku, Azerbaijan","40.4040114","49.8078115","122","4.3","Asia/Baku","","ChIJGdIMAnaHMEARf1_3MER49ss","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40308776020cd219:0xcbf6784430f75f7f","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipNHM-LQNUNtJ3G18gO9sAw_Sk2Uk0Ptyp4lmOJx=w203-h134-k-no","",""
"0x4030850057333e7f:0xbdbd7ac0485dd8a8","","liaa Vahid Metro Stansiyas","FQ73+7XM liaa Vahid Metro Stansiyas, Masazr, Azerbaijan","40.462507699999996","49.7556434","","","Asia/Baku","","ChIJfz4zVwCFMEARqNhdSMB6vb0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030850057333e7f:0xbdbd7ac0485dd8a8","Metropolitan train company","","","","","","","","","Masazir, Azerbaijan","false","","",""
"0x403062ff03ee8f1d:0xa3342a8984e334a4","","Neftchilar","Neftchilar, Qara Qarayev, Azerbaijan","40.4101576","49.9433126","122","4.3","Asia/Baku","","ChIJHY_uA_9iMEARpDTjhIkqNKM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403062ff03ee8f1d:0xa3342a8984e334a4","Subway station","","","","","","","","","Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipOHRbiiebsSxC9etKrelR590GGjKbRIMPm7M616=w203-h360-k-no","",""
"0x403063c8b5e78ae1:0xe5c6fc6ddfe9c46e","","hmdli metrostansiyas","9XF3+VF9 hmdli metrostansiyas, hmdli, Mhmmd Hadi, Qarauxur, Azerbaijan","40.374659699999995","49.9537475","3","3.7","Asia/Baku","","ChIJ4YrntchjMEARbsTp3238xuU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403063c8b5e78ae1:0xe5c6fc6ddfe9c46e","Metropolitan train company","","","","","","","","","Qarauxur, Azerbaijan","false","","",""
"0x403062f5e7561af3:0xe5890bcbaea517bf","","Qara Qarayev metro stansiyas","Qara Qarayev metro stansiyas, Azerbaijan","40.417764","49.932148999999995","6","5","Asia/Baku","","ChIJ8xpW5_ViMEARvxelrssLieU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403062f5e7561af3:0xe5890bcbaea517bf","Bus stop","","","","","","","","","Azerbaijan","true","","",""
