Name,Address,Latitude,Longitude
OBA Market-EHMEDLI 11,"1 Seyid Əzim Şirvani, Bakı, Azərbaycan",40.392886097545,49.960707
OBA Market-XIRDALAN 15,"Bakı, Azərbaycan",40.385487097545,49.977258
OBA Market-8 KM BAZAR,"8-ci kilometer, Qaraçuxur, Azərbaycan",40.405626097545,49.956403
OBA Market-EHMEDLI 3,"Xətai, Bakı, Azərbaycan",40.386607097545,49.965922
OBA Market-ECEMI 1,"Mazahir Rustamov, Baku, Azərbaycan",40.388990097545,49.961755
OBA Market-BAKIXANOV 4,"Mahir Əmirov, Bakixanov, Azərbaycan",40.414323097545,49.961917
OBA Market-ULD_SUMQAYIT 6,"İsmayıl Məmmədov küçəsi, Qaraçuxur, Azərbaycan",40.397488097545,49.955322
OBA Market-XIRDALAN 16,"Yeni Günəşli, Qaraçuxur, Azərbaycan",40.383532097545,49.980211
OBA Market-BAKIXANOV 10,"Bakıxanov, Bakixanov, Azərbaycan",40.414412097545,49.960035
OBA Market-EHMEDLI 5,"Xətai, Bakı, Azərbaycan",40.393166097545,49.955323
OBA Market-BAKIXANOV 6,"Bakıxanov, Bakixanov, Azərbaycan",40.419446097545,49.967446
OBA Market-EHMEDLI 2,"89 Qaçaq Nəbi, Bakı, Azərbaycan",40.389119097545,49.95774
OBA Market-KGUNESLI 13,"Günəşli, Bakı, Azərbaycan",40.382818097545,49.966329
OBA Market-KOHNE GUNESLI 5,"Yeni Günəşli, Bakı, Azərbaycan",40.380780097545,49.980611
OBA Market-XACMAZ 4,"44b Məhəmməd Hadi, Bakı, Azərbaycan",40.392513097545,49.95346
OBA Market-SUMQAYIT 24,"Suraxanı, Bakixanov, Azərbaycan",40.412007097545,50.002058
OBA Market-BAKIXANOV,"Sulh Street, Bakixanov, Azərbaycan",40.420740097545,49.96663
OBA Market-KESHLE 5,"Günəşli, Bakı, Azərbaycan",40.381783097545,49.968516
OBA Market-EHMEDLI 10,"Xətai, Bakı, Azərbaycan",40.387526097545,49.957046
OBA Market-NEFTCALA 1,"8-ci kilometer, Azərbaycan",40.410016097545,49.952282
OBA Market-BAKIXANOV 7,"Bakıxanov, Azərbaycan",40.417735097545,49.959354
